time, Quad.Est.E.Pos, Quad.Est.S.Z
3.849903,0.088790,0.447135
3.854903,0.088719,0.447515
3.859903,0.088677,0.447775
3.864902,0.088621,0.448176
3.869902,0.088593,0.448450
3.874902,0.088554,0.448872
3.879901,0.088529,0.449161
3.884901,0.088503,0.449605
3.889900,0.088498,0.449909
3.894900,0.088491,0.450377
3.899900,0.088486,0.450697
3.904899,0.087218,0.447959
3.909899,0.087306,0.448158
3.914899,0.087447,0.448465
3.919898,0.087546,0.448674
3.924898,0.087703,0.448997
3.929898,0.087813,0.449218
3.934897,0.087987,0.449558
3.939897,0.088106,0.449791
3.944896,0.088293,0.450149
3.949896,0.088418,0.450394
3.954896,0.088616,0.450771
3.959895,0.088746,0.451030
3.964895,0.088951,0.451427
3.969895,0.089098,0.451699
3.974894,0.089316,0.452118
3.979894,0.089461,0.452405
3.984894,0.089688,0.452847
3.989893,0.089844,0.453148
3.994893,0.090082,0.453613
3.999892,0.090243,0.453931
4.004892,0.078704,0.451212
4.009892,0.078528,0.451410
4.014892,0.078311,0.451714
4.019891,0.078172,0.451922
4.024891,0.077956,0.452243
4.029891,0.077813,0.452462
4.034890,0.077598,0.452799
4.039890,0.077453,0.453030
4.044889,0.077236,0.453386
4.049889,0.077097,0.453629
4.054889,0.076882,0.454004
4.059888,0.076739,0.454260
4.064888,0.076523,0.454655
4.069888,0.076373,0.454926
4.074887,0.076151,0.455342
4.079887,0.076005,0.455626
4.084887,0.075781,0.456064
4.089886,0.075647,0.456364
4.094886,0.075432,0.456826
4.099885,0.075283,0.457141
4.104885,0.087838,0.454441
4.109885,0.088401,0.454637
4.114884,0.089216,0.454940
4.119884,0.089766,0.455146
4.124884,0.090601,0.455465
4.129883,0.091156,0.455682
4.134883,0.091997,0.456017
4.139883,0.092567,0.456247
4.144882,0.093426,0.456600
4.149882,0.094033,0.456841
4.154881,0.094929,0.457214
4.159881,0.095509,0.457468
4.164881,0.096410,0.457860
4.169880,0.097003,0.458129
4.174880,0.097911,0.458542
4.179880,0.098517,0.458825
4.184879,0.099435,0.459260
4.189879,0.100096,0.459557
4.194879,0.101054,0.460016
4.199878,0.101670,0.460329
4.204878,0.085298,0.457647
4.209877,0.085572,0.457842
4.214877,0.085984,0.458143
4.219877,0.086253,0.458348
4.224876,0.086669,0.458664
4.229876,0.086952,0.458880
4.234876,0.087380,0.459213
